	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:1655	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ikvm\runtime\vfs.cs	519							catch{}
ID:1656	..\data\MonoDevelop\monodevelop-4.3.3\main\external\ikvm\runtime\vm.cs	294	Console.Error.WriteLine(message)						catch{Console.Error.WriteLine(message);}
ID:1657	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\GnomePlatform\GnomePlatform.cs	165							catch {}
ID:1658	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\GnomePlatform\GnomePlatform.cs	358							catch {}
ID:1659	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.Debugger\MonoDevelop.Debugger\DebuggerEngine.cs	55	"LoggingService.LogError (""Invalid feature '"" + s + ""' in debugger engine node ("" + node.Addin.Id + "")"")"						"catch {LoggingService.LogError (""Invalid feature '"" + s + ""' in debugger engine node ("" + node.Addin.Id + "")"");}"
ID:1660	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.Debugger\MonoDevelop.Debugger\DebuggingService.cs	572		throw;				Cleanup ();	catch {Cleanup ();throw;}
ID:1661	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\NUnitAssemblyTestSuite.cs	78							catch {}
ID:1662	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\NUnitAssemblyTestSuite.cs	153						oper.SetCompleted (false);	catch {oper.SetCompleted (false);}
ID:1663	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\NUnitAssemblyTestSuite.cs	341							catch {}
ID:1664	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\NUnitAssemblyTestSuite.cs	347							catch {}
ID:1665	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\NUnit\Services\NUnitService.cs	286							catch {}
