	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:262	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	90							catch (Exception) {}
ID:263	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	95							catch (Exception) {}
ID:264	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	123							catch (Exception) {}
ID:265	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	128							catch (Exception) {}
ID:266	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	133							catch (Exception) {}
ID:267	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	138							catch (Exception) {}
ID:268	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	149							catch (Exception) {}
ID:269	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\CustomStringTagProvider.cs	159							catch (Exception) {}
ID:270	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\HelpCommands.cs	42						"MessageService.ShowError(""Can't execute/view "" + file + ""\n Please check that the file exists and that you can open this file."");"	"catch (Exception) {MessageService.ShowError(""Can't execute/view "" + file + ""\n Please check that the file exists and that you can open this file."");}"
ID:271	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\MenuItemBuilders.cs	235				return;	"MessageService.ShowError(""${res:XML.MainMenu.ToolMenu.ExternalTools.ExecutionFailed} '"" + ex.Message);"		"catch (Exception ex) {MessageService.ShowError(""${res:XML.MainMenu.ToolMenu.ExternalTools.ExecutionFailed} '"" + ex.Message);return;}"
ID:272	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\MenuItemBuilders.cs	253					"MessageService.ShowError(""${res:XML.MainMenu.ToolMenu.ExternalTools.ExecutionFailed} '"" + command + "" "" + args + ""'\n"" + ex.Message);"		"catch (Exception ex) {MessageService.ShowError(""${res:XML.MainMenu.ToolMenu.ExternalTools.ExecutionFailed} '"" + command + "" "" + args + ""'\n"" + ex.Message);}"
ID:273	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Commands\ViewInBrowser.cs	40					MessageService.ShowMessage(ex.Message);		catch (Exception ex) {MessageService.ShowMessage(ex.Message);}
ID:274	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Editor\Commands\GoToDefinition.cs	54					"MessageService.ShowException(ex, ""Error jumping to '"" + pos.FileName + ""'."");"		"catch (Exception ex) {MessageService.ShowException(ex, ""Error jumping to '"" + pos.FileName + ""'."");}"
ID:275	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\BrowserDisplayBinding\HtmlViewPane.cs	187					MessageService.ShowException(ex);		catch (Exception ex) {MessageService.ShowException(ex);}
ID:276	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Main\Base\Project\Src\Gui\BrowserDisplayBinding\HtmlViewPane.cs	206					MessageService.ShowException(ex);		catch (Exception ex) {MessageService.ShowException(ex);}
